Rk,GF90,Pts/MP,xGD/90,Age,Poss,npxG,Saves90,Save%,PSxG+/-/90,#OPA/90,Sh/90,SoT/90,PKPer,Cmp90,Cmp%,KP90,FIN1/3/90,SCA90,Att3rd90,AttPen90,Succ%,TklW90,Won%
6,1.947368421,1.66,0.46,26.8,61.4,1.69,2.473684211,68.7,-0.07,1.55,15.5,5.87,0.8,549.4210526,82.9,11.68421053,43.63157895,28.34,216.5526316,28.89473684,70,11.18421053,48.8
12,1.184210526,1.16,-0.43,26.9,48.1,0.96,2.868421053,65.3,-0.14,0.47,12.16,4.03,1,353.9473684,74.9,9.157894737,32.10526316,21.29,140.1315789,20.52631579,53.8,8.526315789,48.2
15,0.894736842,1.05,-0.39,27.5,43.7,0.84,3.184210526,69.2,-0.01,0.45,9.92,2.89,0.714285714,311.5263158,72.3,7.447368421,23.28947368,18.11,116.0526316,15.39473684,61.4,10,50.6
7,0.947368421,1.42,-0.45,27.5,43.7,0.85,3.184210526,77.5,0.25,1.05,9.95,3.32,0,276.9473684,68.6,7.315789474,25.63157895,17.55,112.9210526,15.42105263,63.2,9.342105263,48.5
5,1.631578947,1.84,0.59,26.7,55.6,1.37,2.131578947,69.2,-0.02,0.76,15.87,5.53,1,499.1315789,82.1,12.68421053,37.65789474,29.34,190.9210526,26.10526316,69.9,11.21052632,54.3
11,1.184210526,1.16,0.14,27.1,45.2,1.21,3.078947368,68.8,-0.04,0.84,12.26,3.53,0.8,310.7631579,73.3,8.710526316,27.28947368,22.05,137.8947368,20.97368421,66.7,11.76315789,51.5
8,1.157894737,1.29,-0.29,26.7,45.5,0.9,3.131578947,69.1,-0.05,1.34,9.24,2.89,0.625,314.5526316,72.6,6.921052632,27.47368421,16.45,127.5263158,15.76315789,57.3,11.76315789,47.1
16,0.736842105,0.97,-0.6,26.4,45.7,0.78,2.605263158,65.8,-0.14,1.45,9.47,2.79,1,316.7368421,71.5,6.842105263,24.65789474,16.42,131.6842105,13.84210526,56.2,13.21052632,49.6
9,1.473684211,1.24,-0.06,27.2,48,1.19,2.736842105,64.6,-0.2,1.74,10.97,3.61,0.833333333,325.1842105,72.2,7.815789474,26.57894737,19.34,129.4210526,17.71052632,58.8,10.97368421,51.1
4,2.210526316,1.97,1.01,25.6,60.3,1.86,1.684210526,67.3,-0.04,1.76,16.71,5.95,0.666666667,535.9736842,81.8,12.84210526,46.39473684,29.74,189.7105263,27.78947368,67.5,11.84210526,47.4
1,2.789473684,2.63,1.63,26.4,71,1.91,1.526315789,68.2,0.01,2.37,17.26,6.68,0.75,688.5263158,87.3,13.10526316,53.31578947,31.74,253.6052632,32.89473684,68.7,10.02631579,55.1
2,1.789473684,2.13,0.5,26.7,54.7,1.4,3.078947368,81.1,0.35,0.55,13.39,4.47,0.333333333,467.5,81.2,9.921052632,34.84210526,23.97,185.0263158,23.44736842,63.3,9.710526316,55.6
10,1.026315789,1.16,-0.21,25.6,41.7,1.08,2.684210526,70.9,0.13,0.84,11.84,3.84,0,291.3421053,70.7,8.447368421,23.97368421,20.58,118.0526316,15.73684211,56.8,11.21052632,48.8
17,0.973684211,0.95,-0.18,26.2,51.3,0.99,2.842105263,66.7,-0.25,0.63,11.76,3.58,1,377.2631579,75.3,9.026315789,30.36842105,21.08,147.0789474,18.36842105,71.4,11.94736842,45.6
19,0.921052632,0.87,-0.68,27.5,41.4,0.9,3.947368421,70.8,0.01,1.13,10,3.21,0,266.3684211,69.5,7.578947368,24.23684211,17.84,111.1052632,15.60526316,64.1,11.5,55.7
18,0.736842105,0.87,-0.76,27.2,45.3,0.81,3.5,72.1,0.14,0.58,8.89,2.5,1,347.9736842,75.8,5.868421053,25.60526316,15.13,118.1315789,13.92105263,60.8,10.97368421,47.2
3,1.947368421,2.03,0.84,25.8,61.8,1.64,2.342105263,72.6,0,2.05,16.32,5.5,0.666666667,507.4736842,81.4,12.15789474,47.18421053,28.58,194.1842105,24.68421053,60.6,10.5,50.9
